traditional	simplified	pinyin	translation_fr-FR
刺刀	刺刀	ci4 dao1	"baïonnette"
刺史	刺史	ci4 shi3	"gouverneur provincial (arch.)"
刺客	刺客	ci4 ke4	"assassin"
刺巢鼠	刺巢鼠	ci4 chao2 shu3	"Leporillus conditor__rat architecte"
刺殺	刺杀	ci4 sha1	"assassiner"
刺桐	刺桐	ci4 tong2	"arbre corail d'Inde__Erythrina indica"
刺激	刺激	ci4 ji1	"exciter__stimuler__irriter__stimulus"
刺激性	刺激性	ci4 ji1 xing4	"passionnant__excitant__stimulant__irritant__provocateur__piquant__épicé"
刺蝟	刺猬	ci4 wei5	"erinaceinae__hérisson"
刺痛	刺痛	ci4 tong4	"pincer__cingler"
刺目	刺目	ci4 mu4	"voyant__flagrant__désagréable aux yeux"
刺眼	刺眼	ci4 yan3	"éblouissant__éblouir__offenser les yeux__inesthétique"
刺穿	刺穿	ci4 chuan1	"mettre en brochette__empaler__percer"
刺繡	刺绣	ci4 xiu4	"broderie"
刺耳	刺耳	ci4 er3	"strident__qui choque les oreilles"
刺花	刺花	ci4 hua1	"tatouer__tatouage"
刺花紋	刺花纹	ci4 hua1 wen2	"tatouer"
刺骨	刺骨	ci4 gu3	"qui pénètre jusqu'aux os__piquant"
刺鼻	刺鼻	ci4 bi2	"assaillir les narines__âcre"
刻	刻	ke4	"graver__sculpter__insulter__se faire violence__quart d'heure"
刻不容緩	刻不容缓	ke4 bu4 rong2 huan3	"très urgent__très pressant__qui ne souffre point de retard__qui n'admet aucun délai__il n'y a pas une minute à perdre"
刻刀	刻刀	ke4 dao1	"ciseau de sculptueur"
刻奇	刻奇	ke4 qi2	"kitsch"
刻度	刻度	ke4 du4	"division__étalonner__apostrophe__échelle__étalonnage"
刻錄	刻录	ke4 lu4	"enregistrer sur un CD ou un DVD__graver un disque"
刻錄機	刻录机	ke4 lu4 ji1	"graveur de disque (CD, DVD, Blu-Ray)"
刻意	刻意	ke4 yi4	"soigneusement__assidûment__avec application"
刻木事親	刻木事亲	ke4 mu4 shi4 qin1	"(expr. idiom.) sculpter des figurines de bois pour honorer les parents__piété filiale"
刻板	刻板	ke4 ban3	"mécanique__rigide"
刻畫	刻画	ke4 hua4	"peindre__dépeindre__représenter__gribouiller"
刻舟求劍	刻舟求剑	ke4 zhou1 qiu2 jian4	"(expr. idiom.) faire une entaille à la barque pour retrouver l'épée (alors qu'elle tombe dans l'eau)__faire une action rendue vaine par un changement des circonstances"
刻花	刻花	ke4 hua1	"motif gravé"
刻苦	刻苦	ke4 ku3	"assidu"
刻薄	刻薄	ke4 bo2	"dur__acerbe"
刻骨銘心	刻骨铭心	ke4 gu3 ming2 xin1	"(expr. idiom.) sculpté dans les os et gravé dans le coeur__gravé dans sa mémoire__inoubliable"
劊	刽	gui4	"couper"
劊子手	刽子手	gui4 zi5 shou3	"Bourreau"
劌	刿	gui4	"couper__blesser"
剴	剀	kai3	"soigneusement__modérément"
剴切	剀切	kai3 qie4	"convaincant"
剁	剁	duo4	"hacher__trancher"
剁手黨	剁手党	duo4 shou3 dang3	"accro au shopping en ligne"
劑	剂	ji4	"dose__substance__préparation pharmaceutique"
劑型	剂型	ji4 xing2	"mécanisme d'un médicament (ex. pilule, poudre, etc.)"
劑量	剂量	ji4 liang4	"dose"
鬀	剃	ti4	"raser"
削	削	xue1	"racler__effacer__graver__réduire"
削	削	xiao1	"éplucher__raclage__entamer__peler"
削減	削减	xue1 jian3	"réduire__retrancher"
削尖	削尖	xiao1 jian1	"aiguiser"
削弱	削弱	xue1 ruo4	"affaiblir"
削皮	削皮	xue1 pi2	"peler__éplucher"
削足適履	削足适履	xue1 zu2 shi4 lu:3	"(expr. idiom.) se rogner les pieds pour les adapter aux chaussures__suivre les règles à la lettre sans les adapter à la situation"
削除	削除	xue1 chu2	"supprimer__éliminer"
剋架	剋架	kei1 jia4	"se bagarrer__en venir aux mains"
剌	剌	la2	"sabrer"
剌	剌	la4	"couper__taillader"
前	前	qian2	"avant__devant__précédent__ancien__pré-"
前一向	前一向	qian2 yi1 xiang4	"dernièrement__dans le passé récent"
前一天	前一天	qian2 yi1 tian1	"la veille (d'un évènement)__le jour précédent"
前三甲	前三甲	qian2 san1 jia3	"top trois"
前不久	前不久	qian2 bu4 jiu3	"Il n'y a pas longtemps__naguère"
前世	前世	qian2 shi4	"générations précédentes__incarnations précédentes"
前些	前些	qian2 xie1	"il y a quelques (jours, mois, etc.)"
前人	前人	qian2 ren2	"prédécesseur__devancier__les Anciens__les ancêtres"
前任	前任	qian2 ren4	"prédécesseur"
前傳	前传	qian2 chuan2	"passe avant (sport)"
前傳	前传	qian2 zhuan4	"prequel"
前倨後恭	前倨后恭	qian2 ju4 hou4 gong1	"(expr. idiom.) passer de l'arrogance à la déférence"
前傾	前倾	qian2 qing1	"se pencher en avant"
前幾天	前几天	qian2 ji3 tian1	"quelques jours avant"
前凸後翹	前凸后翘	qian2 tu1 hou4 qiao4	"(se dit d'une femme) avoir de belles courbes__bien en chair__galbée"
前列	前列	qian2 lie4	"le premier rang"
前列腺	前列腺	qian2 lie4 xian4	"prostate"
前列腺炎	前列腺炎	qian2 lie4 xian4 yan2	"prostatite"
前前後後	前前后后	qian2 qian2 hou4 hou4	"avant et après"
前衛	前卫	qian2 wei4	"avant-garde"
前原市	前原市	qian2 yuan2 shi4	"Maebaru (Japon)"
前臺	前台	qian2 tai2	"avant-scène__salle de spectacle"
前後	前后	qian2 hou4	"avant et après__devant et derrière__depuis le début jusqu'à la fin__dès le commencement jusqu'à la fin__en tout__environ__tout autour"
前夕	前夕	qian2 xi1	"veille"
前夜	前夜	qian2 ye4	"veille"
前大燈	前大灯	qian2 da4 deng1	"phare"
前天	前天	qian2 tian1	"avant-hier"
前夫	前夫	qian2 fu1	"ex-mari"
前頭	前头	qian2 tou5	"en face__à la tête__à venir__au-dessus"
前奏	前奏	qian2 zou4	"prélude__préliminaires"
前妻	前妻	qian2 qi1	"ex-épouse__ex-femme"
前年	前年	qian2 nian2	"avant-dernière année"
前往	前往	qian2 wang3	"acheminer"
前總統	前总统	qian2 zong3 tong3	"ancien président"
前所未有	前所未有	qian2 suo3 wei4 you3	"(expr. idiom.) sans précédent"
前所未聞	前所未闻	qian2 suo3 wei4 wen2	"inouï__sans précédent"
前提	前提	qian2 ti2	"prémisse__condition préalable"
前提條件	前提条件	qian2 ti2 tiao2 jian4	"précondition"
前方	前方	qian2 fang1	"avant__front__ligne du front__ligne de feu"
前日	前日	qian2 ri4	"avant-hier"
前晌	前晌	qian2 shang3	"(dial.) matin__matinée"
前晚	前晚	qian2 wan3	"nuit dernière__nuit précédente"
前景	前景	qian2 jing3	"perspective__avenir"
前期	前期	qian2 qi1	"période de temps en précédant une autre"
前來	前来	qian2 lai2	"à venir (formel)__avant__précédemment"
前橋	前桥	Qian2 qiao2	"Maebashi (Japon)"
前段	前段	qian2 duan4	"première partie__frontal__partie avant__segment avant__section précédente"
前段時間	前段时间	qian2 duan4 shi2 jian1	"récemment"
前沿	前沿	qian2 yan2	"avant-postes du front"
前照燈	前照灯	qian2 zhao4 deng1	"phare (véhicule)"
前生	前生	qian2 sheng1	"préexistence"
前田	前田	Qian2 tian2	"Maeda (nom de famille japonais)"
前瞻	前瞻	qian2 zhan1	"prospectives__prémonitoire__prévoyance__perspective"
前瞻性	前瞻性	qian2 zhan1 xing4	"hypermétropie__perspicacité__prescience__prospective"
前移式叉車	前移式叉车	qian2 yi2 shi4 cha1 che1	"chariot à mât rétractable"
前程	前程	qian2 cheng2	"avenir__carrière qui s'offre"
前端	前端	qian2 duan1	"front__frontal__partie avant"
前端總線	前端总线	qian2 duan1 zong3 xian4	"Front side bus"
前線	前线	qian2 xian4	"front"
前綴	前缀	qian2 zhui4	"préfixe"
前置	前置	qian2 zhi4	"préposition"
前置修飾語	前置修饰语	qian2 zhi4 xiu1 shi4 yu3	"pré modificateur (gramm.)"
前者	前者	qian2 zhe3	"la personne ou la chose dont on a parlé en premier__le premier__celui-là"
前胃	前胃	qian2 wei4	"proventricule__préestomac"
前胸	前胸	qian2 xiong1	"poitrine (de la femme)__sein"
前腦葉白質切除術	前脑叶白质切除术	qian2 nao3 ye4 bai2 zhi4 qie1 chu2 shu4	"lobotomie"
前臂	前臂	qian2 bi4	"avant-bras"
前蘇聯	前苏联	qian2 Su1 lian2	"ex-URSS"
前茅	前茅	qian2 mao2	"patrouille d'avant-garde"
前行	前行	qian2 xing2	"vers l'avant"
前言	前言	qian2 yan2	"avant-propos__préface"
前詞彙加工	前词汇加工	qian2 ci2 hui4 jia1 gong1	"accès prélexical"
前身	前身	qian2 shen1	"forme originelle__prédécesseur"
前輪	前轮	qian2 lun2	"roue avant"
前輩	前辈	qian2 bei4	"devancier__ancien__ancêtre"
前邊	前边	qian2 bian5	"devant__en avant"
前進	前进	qian2 jin4	"avancer__progresser"
前述	前述	qian2 shu4	"indiqué ci-dessus"
前途	前途	qian2 tu2	"avenir"
前部	前部	qian2 bu4	"partie avant__section avant__nez (d'un avion)"
前鋒	前锋	qian2 feng1	"avant-garde"
前門	前门	qian2 men2	"porte d'entrée"
前面	前面	qian2 mian4	"(en) avant__devant__ci-dessus"
前額	前额	qian2 e2	"front (anatomie)"
剮	剐	gua3	"mettre en pièces"
劒	剑	jian4	"épée"
劍嘴鶥	剑嘴鹛	jian4 zui3 mei2	"Pomatorhinus superciliaris"
劍客	剑客	jian4 ke4	"chevalier"
劍尖	剑尖	jian4 jian1	"pointu__bout aiguisé"
劍拔弩張	剑拔弩张	jian4 ba2 nu3 zhang1	"(expr. idiom.) épées tirées et arbalètes tendues__menaces de guerre__situation très tendue"
劍術	剑术	jian4 shu4	"escrime"
劍柄	剑柄	jian4 bing3	"poignée d'épée__pommeau d'épée"
劍橋	剑桥	Jian4 qiao2	"Cambridge"
劍法	剑法	jian4 fa3	"escrime__maitrise de l'épée"
劍身	剑身	jian4 shen1	"lame d'épée"
剔	剔	ti1	"racler__choisir"
剔透	剔透	ti1 tou4	"limpide__pur"
剔除	剔除	ti1 chu2	"éliminer__retrancher"
剖	剖	pou1	"couper__ouvrir__analyser"
剖析	剖析	pou1 xi1	"analyser"
剖解	剖解	pou1 jie3	"disséquer__analyser"
剖解圖	剖解图	pou1 jie3 tu2	"schéma en coupe"
剚	剚	zi4	"dresser__poignarder"
剜	剜	wan1	"rogner__couper__creuser__graver"
剞	剞	ji1	"piller__dévaliser"
剡	剡	yan3	"pointu"
剡	剡	shan4	"fleuve Shan (dans le Zhejiang)"
剝	剥	bo1	"écorcher__peler__éplucher"
剝	剥	bao1	"peler__écailler"
剝削	剥削	bo1 xue4	"exploitation sociale"
剝削	剥削	bo1 xue1	"exploiter__exploitation"
剝奪	剥夺	bo1 duo2	"priver__enlever"
剝皮	剥皮	bo1 pi2	"Écorchement"
剝皮	剥皮	bao1 pi2	"peler__écorcher__excorier__éplucher__crier sur qqn__punir physiquement qqn"
剝皮鉗	剥皮钳	bao1 pi2 qian2	"dénuder (un fil)"
剝離	剥离	bo1 li2	"peler__détacher__éplucher"
剝落	剥落	bo1 luo4	"dénuder"
剝蝕	剥蚀	bo1 shi2	"désagrégement__désintégration__lèpre__désagrégation__désagréger__désintégrer"
劇	剧	ju4	"pièce de théâtre__scénario__théâtre__opéra__violent__intense"
劇團	剧团	ju4 tuan2	"troupe de théâtre"
劇場	剧场	ju4 chang3	"théâtre"
劇情	剧情	ju4 qing2	"intrigue__scénario"
劇本	剧本	ju4 ben3	"pièce de théâtre__scénario__théâtre (genre littéraire)"
劇毒	剧毒	ju4 du2	"Poison"
劇烈	剧烈	ju4 lie4	"violent__aigu"
劇照	剧照	ju4 zhao4	"pose pour une photo"
劇痛	剧痛	ju4 tong4	"douleur aiguë__pincement"
劇目	剧目	ju4 mu4	"répertoire"
劇組	剧组	ju4 zu3	"équipage__équipe de production"
劇院	剧院	ju4 yuan4	"(bâtiment) théâtre__opéra"
劇院魅影	剧院魅影	ju4 yuan4 mei4 ying3	"Le Fantôme de l'Opéra (roman, film)"
剩	剩	sheng4	"surplus__excédent__résidu__restant__rester"
剩下	剩下	sheng4 xia4	"rester__être de reste__être en surplus"
剩餘	剩余	sheng4 yu2	"reste__excédent__surplus"
剩男	剩男	sheng4 nan2	"homme en âge de se marier mais toujours célibataire"
剪	剪	jian3	"ciseaux__couper__tailler"
剪出	剪出	jian3 chu1	"découper"
剪刀	剪刀	jian3 dao1	"ciseaux__couper__tondre"
剪刀石頭布	剪刀石头布	jian3 dao1 shi2 tou5 bu4	"pierre-feuille-ciseau__pierre-papier-ciseaux__papier-caillou-ciseaux"
剪切	剪切	jian3 qie1	"cisaillement__couper (inform.)"
剪嘴鷗	剪嘴鸥	jian3 zui3 ou1	"Bec-en-ciseaux à collier (oiseau)"
剪彩	剪彩	jian3 cai3	"couper le ruban (lors d'une cérémonie)"
剪影	剪影	jian3 ying3	"contrejour__contre-jour"
剪枝	剪枝	jian3 zhi1	"élaguer"
剪裁	剪裁	jian3 cai2	"confectionner (vêtements)__couper (dépense)"
剪貼板	剪贴板	jian3 tie1 ban3	"presse-papiers (inform.)"
剪輯	剪辑	jian3 ji2	"montage"
副	副	fu4	"adjoint__vice-__sous-__paire__jeu__(classificateur pour : les paires (lunettes, gants), les séries (jeux de cartes), les expressions du visage)"
副主任	副主任	fu4 zhu3 ren4	"Chef adjoint de bureau"
副主席	副主席	fu4 zhu3 xi2	"vice-président"
副書記	副书记	fu4 shu1 ji5	"secrétaire adjoint"
副產品	副产品	fu4 chan3 pin3	"sous-produit"
副作用	副作用	fu4 zuo4 yong4	"effet secondaire"
副廳長	副厅长	fu4 ting1 zhang3	"Chef adjoint de bureau"
副品	副品	fu4 pin3	"produit de qualité inférieure"
副官	副官	fu4 guan1	"aide de camp"
副室	副室	fu4 shi4	"(arch.) concubine"
副局長	副局长	fu4 ju2 zhang3	"sous-secrétaire d'état"
副市長	副市长	fu4 shi4 zhang3	"adjoint au Maire"
副總	副总	fu4 zong3	"chef adjoint__vice président"
副總理	副总理	fu4 zong3 li3	"vice-premier ministre"
副總經理	副总经理	fu4 zong3 jing1 li3	"directeur général adjoint"
副總統	副总统	fu4 zong3 tong3	"vice-président"
副總裁	副总裁	fu4 zong3 cai2	"vice-président__vice-gouverneur"
副手	副手	fu4 shou3	"sous-verge__adjoint"
副教授	副教授	fu4 jiao4 shou4	"professeur adjoint__professeur associé"
副本	副本	fu4 ben3	"double__duplicata__copie"
副標題	副标题	fu4 biao1 ti2	"sous-titre"
副校長	副校长	fu4 xiao4 zhang3	"vice-principal__vice-chancelier"
副熱帶	副热带	fu4 re4 dai4	"subtropical"
副熱帶高壓	副热带高压	fu4 re4 dai4 gao1 ya1	"latitude subtropicale"
副理	副理	fu4 li3	"directeur adjoint"
副甲狀腺	副甲状腺	fu4 jia3 zhuang4 xian4	"parathyroïde"
副甲狀腺素	副甲状腺素	fu4 jia3 zhuang4 xian4 su4	"hormone parathyroïdienne"
副秘書長	副秘书长	fu4 mi4 shu1 zhang3	"Vice-Secrétaire général"
副組長	副组长	fu4 zu3 chang2	"Chef adjoint"
副經理	副经理	fu4 jing1 li3	"directeur adjoint"
副部長	副部长	fu4 bu4 zhang3	"assistant ministériel"
副院長	副院长	fu4 yuan4 zhang3	"vice-président du conseil d'administration__vice-président (de l'université, etc.)"
副食品	副食品	fu4 shi2 pin3	"produits alimentaires non essentiels"
副駕駛	副驾驶	fu4 jia4 shi3	"copilote__co-pilote__siège du passager avant"
割	割	ge1	"couper"
割損	割损	ge1 sun3	"circoncision"
割據	割据	ge1 ju4	"soustraire une région à l'autorité du pouvoir central"
割接	割接	ge1 jie1	"basculer (réseau)__migration (système)"
割斷	割断	ge1 duan4	"couper__rompre"
割舍	割舍	ge1 she3	"abandonner__se séparer de"
剽	剽	piao1	"piller__voler__agile__leste"
剽竊	剽窃	piao1 qie4	"plagier__pirater"
勦	剿	jiao3	"exterminer__anéantir"
勦	剿	chao1	"exterminer__anéantir"
劂	劂	jue2	"buriner__ciseler__graver"
劄	劄	zha1	"piquer avec une aiguille"
劈	劈	pi3	"frappe"
劈	劈	pi1	"fendre"
劈開	劈开	pi1 kai1	"fendre (se)__crevassé__trancher"
劈手	劈手	pi1 shou3	"d'un mouvement bref de la main"
劈柴	劈柴	pi1 chai2	"couper du bois de chauffage__fendre des bûches"
劒	劒	jian4	"Épée"
劓	劓	yi4	"nez coupé"
劖	劖	chan2	"graver__buriner__ciseler"
力	力	li4	"force__vigueur__puissance__capacité__s'efforcer de__faire tout son possible__de toutes ses forces__de son mieux__(19e radical)"
力不從心	力不从心	li4 bu4 cong2 xin1	"(expr. idiom.) Ses moyens ne sont pas à la mesure de ses intentions__Ses capacités ne répondent pas à la mesure"
力不勝任	力不胜任	li4 bu4 sheng4 ren4	"(expr. idiom.) ne pas être à la hauteur__incompétent"
力主	力主	li4 zhu3	"défendre fermement"
力爭	力争	li4 zheng1	"défendre énergiquement__s'efforcer de"
力作	力作	li4 zuo4	"faire des efforts dans (travail, etc.)__un chef-d'oeuvre"
力保健	力保健	Li4 bao3 jian4	"Lipovitan (boisson énergisante)"
力克	力克	li4 ke4	"l'emporter avec difficulté"
力圖	力图	li4 tu2	"essayer difficilement__lutter"
力士	力士	li4 shi4	"homme fort"
力大無窮	力大无穷	li4 da4 wu2 qiong2	"force extraordinaire__très fort__fort comme un boeuf"
力嬌酒	力娇酒	li4 jiao1 jiu3	"liqueur (emprunt)"
力學	力学	li4 xue2	"mécanique (science)"
力寶	力宝	li4 bao3	"Lippo (entreprise)"
力帆	力帆	Li4 fan1	"Lifan Group"
力度	力度	li4 du4	"intensité"
力所不及	力所不及	li4 suo3 bu4 ji2	"(faire qch) au-delà de son pouvoir"
力所能及	力所能及	li4 suo3 neng2 ji2	"(expr. idiom.) aussi loin que ses capacités le permettent__autant que possible__en son pouvoir__dans la limite de ses forces"
力挺	力挺	li4 ting3	"supporter__prendre en charge"
力有未逮	力有未逮	li4 you3 wei4 dai4	"(faire qch) au-delà de sa portée ou de sa puissance"
力比多	力比多	li4 bi3 duo1	"libido"
力氣	力气	li4 qi5	"force__énergie"
力求	力求	li4 qiu2	"s'efforcer__s'escrimer"
力道	力道	li4 dao4	"force__puissance__efficacité"
力量	力量	li4 liang5	"force__puissance"
力錢	力钱	li4 qian2	"paiement à un portier"
勸	劝	quan4	"conseiller__persuader__encourager__exhorter à"
勸告	劝告	quan4 gao4	"conseiller__recommander__exhorter"
勸慰	劝慰	quan4 wei4	"consoler"
勸解	劝解	quan4 jie3	"conciliation__médiation__apaiser__réconcilier__s'entremettre"
勸說	劝说	quan4 shuo1	"conseiller__essayer de persuader__exhorter"
勸阻	劝阻	quan4 zu3	"dissuader__déconseiller"
辦	办	ban4	"régler__s'occuper de__se débrouiller__établir__créer__préparer__punir"
辦不到	办不到	ban4 bu5 dao4	"impossible__ne peut pas être fait__ne peut se faire__incapable d'accomplir"
辦事	办事	ban4 shi4	"régler une affaire__travailler"
辦事處	办事处	ban4 shi4 chu4	"agence__office"
辦公	办公	ban4 gong1	"travailler dans un bureau__être à son bureau"
辦公廳	办公厅	ban4 gong1 ting1	"office__bureau général"
辦公地址	办公地址	ban4 gong1 di4 zhi3	"adresse professionnelle"
辦公大樓	办公大楼	ban4 gong1 da4 lou2	"bureau (immobilier)"
辦公室	办公室	ban4 gong1 shi4	"office__bureau (salle)__service administratif"
辦公室主任	办公室主任	ban4 gong1 shi4 zhu3 ren4	"chef du Bureau"
辦公桌	办公桌	ban4 gong1 zhuo1	"bureau (meuble)__table de travail"
辦公樓	办公楼	ban4 gong1 lou2	"bureau (immobilier)"
辦公自動化	办公自动化	ban4 gong1 zi4 dong4 hua4	"bureautique"
辦到	办到	ban4 dao4	"accomplir__s'être occupé de"
辦好	办好	ban4 hao3	"bien gérer"
辦妥	办妥	ban4 tuo3	"organiser__régler__compléter__mener à bien"
辦學	办学	ban4 xue2	"lancer une école"
辦年貨	办年货	ban4 nian2 huo4	"faire du shopping pour la préparation du Nouvel An chinois"
辦案	办案	ban4 an4	"s'occuper d'une cause"
辦法	办法	ban4 fa3	"moyen__manière__méthode__procédé__solution__mesure"
辦理	办理	ban4 li3	"régler__traiter (une affaire, une formalité)"
辦貨	办货	ban4 huo4	"acheter des marchandises (pour une entreprise, etc.)"
辦酒席	办酒席	ban4 jiu3 xi2	"préparer un festin"
功	功	gong1	"mérite__exploit__effet__services__effort__habilité"
功不可沒	功不可没	gong1 bu4 ke3 mo4	"(expr. idiom.) ses contributions ne peuvent passer inaperçues"
